#https://www.esrl.noaa.gov/psd/enso/mei/table.html,,,MEI,Index,(updated:,7,November,2018),,,,
YEAR,1,2,3,4,5,6,7,8,9,10,11,12
2004,0.332,0.37,-0.036,0.358,0.558,0.315,0.571,0.617,0.558,0.492,0.818,0.684
2005,0.325,0.816,1.057,0.626,0.885,0.589,0.519,0.343,0.296,-0.179,-0.374,-0.55
2006,-0.428,-0.414,-0.521,-0.571,0.045,0.526,0.716,0.748,0.8,0.939,1.297,0.965
2007,0.985,0.537,0.125,0.026,0.348,-0.155,-0.248,-0.442,-1.197,-1.217,-1.149,-1.178
2008,-1.006,-1.371,-1.552,-0.858,-0.345,0.142,0.088,-0.269,-0.58,-0.699,-0.584,-0.646
2009,-0.714,-0.69,-0.705,-0.106,0.326,0.751,1.06,1.05,0.707,0.883,1.134,1.059
2010,1.066,1.526,1.462,0.978,0.658,-0.228,-1.103,-1.671,-1.879,-1.892,-1.472,-1.558
2011,-1.719,-1.544,-1.554,-1.387,-0.199,-0.003,-0.193,-0.517,-0.778,-0.939,-0.933,-0.945
2012,-0.98,-0.675,-0.382,0.11,0.757,0.842,1.126,0.607,0.316,0.069,0.141,0.111
2013,0.103,-0.068,-0.026,0.09,0.205,-0.094,-0.314,-0.481,-0.155,0.115,-0.042,-0.234
2014,-0.27,-0.259,0.018,0.295,1.001,1.046,0.915,0.937,0.557,0.421,0.773,0.566
2015,0.417,0.464,0.614,0.916,1.583,2.097,1.981,2.334,2.479,2.201,2.3,2.12
2016,2.216,2.17,1.963,2.094,1.752,1.053,0.352,0.167,-0.118,-0.385,-0.197,-0.11
2017,-0.052,-0.043,-0.08,0.744,1.445,1.039,0.456,0.009,-0.478,-0.568,-0.277,-0.576
2018,-0.623,-0.731,-0.502,-0.432,0.465,0.469,0.076,0.132,0.509,0.468,NaN,NaN
