,Neutral CO2,Neutral NP,Nina CO2,Nina NP,Nino CO2,Nino NP
165E,0.0077831698617319344,0.013661387387746604,0.037454688706980606,0.036836133963700245,0.005608363171147785,0.019106075536291435
170W,0.05622011342356862,0.04563083517540456,0.08370027491997481,0.06684922059870128,0.027185745375440065,0.024218654085224063
155W,0.07639490324303605,0.06400219247209298,0.09032778725288666,0.09205479234810185,0.05317347251606212,0.039800278187818575
140W,0.08505979376783261,0.08693652677137116,0.08842301654220601,0.11506142555437521,0.06422726458171361,0.059579059717191615
125W,0.08897807994150413,0.10316693611643409,0.08098417457662255,0.1275599833297146,0.07167221536589122,0.0759451320336206
110W,0.07885853796290872,0.1154826785210565,0.07046518066167931,0.1396024560750586,0.06325647448720147,0.08797388332636041
