time,chlor_a
2012-09-19,
2012-09-20,
2012-09-21,0.17776388
2012-09-22,0.20203634
2012-09-23,
2012-09-24,
2012-09-25,0.26892403
2012-09-26,
2012-09-27,0.22628884
2012-09-28,0.23831888
2012-09-29,
2012-09-30,0.2592156
2012-10-01,
2012-10-02,0.18990682
2012-10-03,0.21930942
2012-10-04,
2012-10-05,
2012-10-06,
2012-10-07,0.1630548
2012-10-08,0.16761658
2012-10-09,
2012-10-10,
2012-10-11,0.20906812
2012-10-12,
2012-10-13,0.2091808
2012-10-14,0.22060394
2012-10-15,
2012-10-16,0.23566554
2012-10-17,
2012-10-18,0.1774036
2012-10-19,
2012-10-20,
2012-10-21,0.21661246
2012-10-22,
2012-10-23,0.17000401
2012-10-24,0.22250883
2012-10-25,
2012-10-26,
2012-10-27,0.16221721
2012-10-28,
2012-10-29,0.16830203
2012-10-30,0.17941527
2012-10-31,
2012-11-01,0.24907684
2012-11-02,
2012-11-03,0.18792231
2012-11-04,0.1936227
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,
2012-11-09,0.23154172
2012-11-10,0.23864858
2012-11-11,
2012-11-12,0.24641012
2012-11-13,
2012-11-14,0.16066398
2012-11-15,0.13942602
2012-11-16,
2012-11-17,
2012-11-18,
2012-11-19,0.14230564
2012-11-20,0.15084043
2012-11-21,
2012-11-22,
2012-11-23,
2012-11-24,0.21270333
2012-11-25,0.18817656
2012-11-26,0.18514077
2012-11-27,
2012-11-28,0.20190449
2012-11-29,
2012-11-30,0.17860834
2012-12-01,0.18647893
2012-12-02,
2012-12-03,0.23514274
2012-12-04,
2012-12-05,0.21062337
2012-12-06,0.19452627
2012-12-07,
2012-12-08,0.18710816
2012-12-09,
2012-12-10,0.15581036
2012-12-11,0.17453688
2012-12-12,0.18596616
2012-12-13,
2012-12-14,
2012-12-15,
2012-12-16,0.21678127
2012-12-17,0.22126654
2012-12-18,
2012-12-19,0.22550657
2012-12-20,
2012-12-21,0.2142015
2012-12-22,0.1863285
2012-12-23,
2012-12-24,0.23738533
2012-12-25,
2012-12-26,0.21579354
2012-12-27,0.21829386
2012-12-28,0.22723295
2012-12-29,
2012-12-30,0.24474321
2012-12-31,
2013-01-01,0.16838077
2013-01-02,0.1919619
2013-01-03,
2013-01-04,
2013-01-05,
2013-01-06,0.18811648
2013-01-07,0.18796441
2013-01-08,
2013-01-09,0.26364237
2013-01-10,
2013-01-11,0.26949385
2013-01-12,0.26055375
2013-01-13,
2013-01-14,
2013-01-15,0.22092924
2013-01-16,
2013-01-17,0.20115754
2013-01-18,0.21144012
2013-01-19,
2013-01-20,0.2324307
2013-01-21,
2013-01-22,0.15300883
2013-01-23,0.15360941
2013-01-24,
2013-01-25,0.2219882
2013-01-26,
2013-01-27,0.16601613
2013-01-28,0.21022776
2013-01-29,
2013-01-30,
2013-01-31,0.23322405
2013-02-01,
2013-02-02,0.17638156
2013-02-03,0.17591156
2013-02-04,
2013-02-05,0.18860017
2013-02-06,
2013-02-07,0.11785657
2013-02-08,0.16940206
2013-02-09,
2013-02-10,0.19764993
2013-02-11,
2013-02-12,0.2308616
2013-02-13,0.22246104
2013-02-14,
2013-02-15,
2013-02-16,0.1770649
2013-02-17,
2013-02-18,0.18624878
2013-02-19,0.19714928
2013-02-20,
2013-02-21,0.20886582
2013-02-22,
2013-02-23,0.1879419
2013-02-24,0.1717301
2013-02-25,
2013-02-26,0.21576889
2013-02-27,
2013-02-28,0.18946676
2013-03-01,0.18441337
2013-03-02,
2013-03-03,
2013-03-04,0.23218319
2013-03-05,
2013-03-06,0.23336403
2013-03-07,0.2507816
2013-03-08,
2013-03-09,
2013-03-10,
2013-03-11,0.16738896
2013-03-12,0.18467039
2013-03-13,
2013-03-14,0.26052448
2013-03-15,
2013-03-16,0.18879071
2013-03-17,0.18704896
2013-03-18,
2013-03-19,
2013-03-20,0.17771438
2013-03-21,
2013-03-22,0.15844801
2013-03-23,0.19254798
2013-03-24,
2013-03-25,0.20015341
2013-03-26,
2013-03-27,0.26149586
2013-03-28,0.26399574
2013-03-29,
2013-03-30,0.2690433
2013-03-31,
2013-04-01,0.16164385
2013-04-02,0.16787726
2013-04-03,0.21211998
2013-04-04,
2013-04-05,0.17814256
2013-04-06,
2013-04-07,0.17837113
2013-04-08,0.16979311
2013-04-09,
2013-04-10,0.20556276
2013-04-11,
2013-04-12,0.18222311
2013-04-13,0.16825809
2013-04-14,
2013-04-15,0.18704426
2013-04-16,
2013-04-17,0.15209825
2013-04-18,0.14810267
2013-04-19,
2013-04-20,
2013-04-21,0.18002577
2013-04-22,
2013-04-23,0.16804823
2013-04-24,0.17299618
2013-04-25,
2013-04-26,0.18675824
2013-04-27,
2013-04-28,0.19019237
2013-04-29,0.1905765
2013-04-30,
2013-05-01,0.20102908
2013-05-02,
2013-05-03,0.14129633
2013-05-04,0.15845415
2013-05-05,0.16644931
2013-05-06,0.19138859
2013-05-07,0.2005961
2013-05-08,
2013-05-09,0.18282382
2013-05-10,0.17904173
2013-05-11,
2013-05-12,0.20590298
2013-05-13,
2013-05-14,0.19109038
2013-05-15,0.1986836
2013-05-16,
2013-05-17,0.19912247
2013-05-18,
2013-05-19,0.17673002
2013-05-20,0.17486109
2013-05-21,0.17845933
2013-05-22,0.18546554
2013-05-23,0.17958668
2013-05-24,
2013-05-25,0.15737414
2013-05-26,0.15502018
2013-05-27,0.16532747
2013-05-28,0.17288433
2013-05-29,
2013-05-30,0.17136478
2013-05-31,0.18189
2013-06-01,
2013-06-02,0.19558935
2013-06-03,
2013-06-04,0.17274581
2013-06-05,0.18360578
2013-06-06,0.18857224
2013-06-07,0.18222822
2013-06-08,0.19572645
2013-06-09,
2013-06-10,0.19049661
2013-06-11,0.19492142
2013-06-12,
2013-06-13,0.21520278
2013-06-14,
2013-06-15,0.20538737
2013-06-16,0.21018372
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,0.19501215
2013-06-21,0.18153833
2013-06-22,0.17636308
2013-06-23,0.17203604
2013-06-24,0.18821459
2013-06-25,
2013-06-26,0.16493438
2013-06-27,0.18375862
2013-06-28,
2013-06-29,0.18758893
2013-06-30,
2013-07-01,
2013-07-02,0.22370426
2013-07-03,
2013-07-04,0.26403436
2013-07-05,
2013-07-06,
2013-07-07,0.20843731
2013-07-08,0.22186492
2013-07-09,0.21806617
2013-07-10,0.21731625
2013-07-11,
2013-07-12,0.17205444
2013-07-13,0.20246565
2013-07-14,
2013-07-15,0.2770088
2013-07-16,
2013-07-17,0.269986
2013-07-18,0.25027773
2013-07-19,
2013-07-20,0.22948255
2013-07-21,
2013-07-22,0.23847389
2013-07-23,0.2401782
2013-07-24,0.2510001
2013-07-25,0.27634308
2013-07-26,0.28060356
2013-07-27,
2013-07-28,0.1820152
2013-07-29,0.20753047
2013-07-30,
2013-07-31,0.21126433
2013-08-01,
2013-08-02,0.20395395
2013-08-03,0.21687767
2013-08-04,
2013-08-05,0.27334508
2013-08-06,
2013-08-07,0.2096288
2013-08-08,0.18115899
2013-08-09,
2013-08-10,0.25720364
2013-08-11,0.2378629
2013-08-12,
2013-08-13,0.20386426
2013-08-14,0.18452594
2013-08-15,
2013-08-16,0.24391483
2013-08-17,
2013-08-18,0.18819383
2013-08-19,
2013-08-20,
2013-08-21,0.1681037
2013-08-22,
2013-08-23,0.18870704
2013-08-24,0.18713452
2013-08-25,
2013-08-26,
2013-08-27,0.22044726
2013-08-28,
2013-08-29,0.17612201
2013-08-30,0.1752915
2013-08-31,
2013-09-01,0.18990208
2013-09-02,
2013-09-03,0.19326426
2013-09-04,0.18729314
2013-09-05,
2013-09-06,0.19313456
2013-09-07,
2013-09-08,0.20101316
2013-09-09,0.1772868
2013-09-10,
2013-09-11,
2013-09-12,0.19668703
2013-09-13,
2013-09-14,0.1616857
2013-09-15,0.1450647
2013-09-16,
2013-09-17,0.18869543
2013-09-18,
2013-09-19,0.134786
2013-09-20,0.13881013
2013-09-21,
2013-09-22,
2013-09-23,
2013-09-24,0.157218
2013-09-25,0.1666456
2013-09-26,0.14392886
2013-09-27,
2013-09-28,0.229329
2013-09-29,
2013-09-30,0.19166595
2013-10-01,0.1681562
2013-10-02,
2013-10-03,0.19599146
2013-10-04,
2013-10-05,0.18877476
2013-10-06,0.21101812
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,0.20012745
2013-10-11,0.2084672
2013-10-12,0.21199928
2013-10-13,
2013-10-14,0.1871058
2013-10-15,
2013-10-16,0.15580069
2013-10-17,0.14044273
