,end,mei,start
0,1983-07-01,0.75,1982-06-01
1,1988-01-01,0.59,1986-09-01
2,1992-07-01,0.76,1992-01-01
3,1993-11-01,0.7,1992-09-01
4,1998-05-01,2.26,1997-05-01
5,2007-01-01,0.62,2006-08-01
6,2016-05-01,1.26,2015-05-01
