,emi,end,start
0,0.7380499999999959,1982-07-01,1982-03-01
1,0.7494000000000014,1991-05-01,1990-08-01
2,0.7212499999999995,1992-02-01,1991-08-01
3,0.7420500000000025,1995-05-01,1994-03-01
4,0.5509500000000003,2003-05-01,2002-12-01
5,0.7334999999999994,2004-10-01,2004-05-01
6,0.6623500000000018,2010-03-01,2009-10-01
7,0.5503,2019-12-01,2019-06-01
